Global Offset:
0.25
Note Data:
0 0:9.44 1
0 0:9.60 2
0 0:9.74 3
0 0:9.88 4
0 0:10.6 3
0 0:10.39 1
0 0:10.57 2
0 0:10.74 3
0 0:10.91 4
0 0:11.20 1
0 0:11.36 2
0 0:11.56 3
0 0:11.73 4
0 0:12.8 1
0 0:12.27 3
0 0:12.45 2
0 0:12.59 3
0 0:12.80 1
0 0:13.14 1
0 0:13.29 2
0 0:13.47 3
0 0:13.64 4
0 0:13.97 1
0 0:14.16 2
0 0:14.34 3
0 0:14.52 4
0 0:14.86 1
0 0:15.3 2
0 0:15.22 3
0 0:15.37 4
0 0:15.54 3
0 0:15.91 1
0 0:16.5 2
0 0:16.25 3
0 0:16.41 1
0 0:16.73 1
0 0:16.88 2
0 0:17.5 3
0 0:17.26 4
0 0:17.59 1
0 0:17.76 2
0 0:17.94 3
0 0:18.12 1
0 0:18.28 2
0 0:18.46 3
0 0:18.64 1
0 0:18.80 2
0 0:19.0 3
0 0:19.15 1
0 0:19.34 2
0 0:19.50 4
0 0:19.68 3
0 0:19.85 1
0 0:20.5 2
0 0:20.37 1
0 0:20.53 2
0 0:20.70 3
0 0:20.85 4
0 0:21.5 3
0 0:21.44 1
0 0:21.43 4
0 0:21.63 2
0 0:21.79 3
0 0:21.94 1
0 0:22.12 2
0 0:22.34 3
0 0:22.51 1
0 0:22.66 3
0 0:22.85 2
0 0:23.17 4
0 0:23.24 2
0 0:23.45 3
0 0:23.65 1
0 0:23.85 2
0 0:24.17 3
0 0:24.33 1
0 0:24.49 2
0 0:24.69 3
0 0:25.3 1
0 0:25.20 2
0 0:25.37 3
0 0:25.53 4
0 0:25.90 4
0 0:25.88 2
0 0:26.6 3
0 0:26.22 1
0 0:26.39 2
0 0:26.58 3
0 0:26.74 4
0 0:26.93 3
0 0:27.8 1
0 0:27.26 2
0 0:27.46 3
0 0:27.60 4
0 0:27.79 3
0 0:27.96 1
0 0:28.13 2
0 0:28.31 3
0 0:28.65 4
0 0:28.82 3
0 0:28.99 1
0 0:29.19 4
0 0:29.42 1
0 0:29.56 3
0 0:29.72 2
0 0:29.86 1
0 0:30.5 3
0 0:30.21 2
0 0:30.36 4
0 0:30.53 3
0 0:30.71 4
0 0:30.73 1
0 0:31.5 4
2 0:31.42
0 0:31.78 3
0 0:31.94 1
0 0:32.7 2
0 0:32.27 3
0 0:32.46 1
0 0:32.64 3
0 0:32.82 2
0 0:32.99 3
0 0:33.21 1
0 0:33.39 3
0 0:33.44 2
0 0:33.56 3
0 0:33.71 2
0 0:33.88 3
0 0:34.22 1
0 0:34.56 2
0 0:34.70 3
0 0:34.90 1
0 0:35.8 3
0 0:35.23 2
0 0:35.37 3
0 0:35.56 1
0 0:35.74 2
0 0:35.90 3
0 0:36.8 1
0 0:36.22 2
0 0:36.53 1
2 0:36.94
0 0:37.28 1
0 0:37.43 4
0 0:37.62 3
0 0:37.80 2
0 0:37.91 3
0 0:37.99 2
0 0:38.12 3
0 0:38.34 1
0 0:38.69 2
0 0:39.0 3
0 0:39.13 1
0 0:39.19 4
0 0:39.36 3
2 0:39.73
0 0:40.4 4
0 0:40.19 1
0 0:40.33 3
0 0:40.51 2
0 0:40.69 3
2 0:41.10
0 0:41.45 1
0 0:41.58 2
0 0:41.77 3
0 0:41.96 4
0 0:42.12 1
2 0:42.48
0 0:42.83 3
0 0:42.97 1
0 0:43.13 2
0 0:43.33 3
0 0:43.48 1
0 0:43.65 2
0 0:43.85 3
0 0:43.99 1
0 0:44.18 1
0 0:44.35 1
0 0:44.51 2
0 0:44.70 2
0 0:44.85 1
2 0:45.24
0 0:45.53 1
0 0:45.68 2
0 0:45.88 3
0 0:46.5 4
0 0:46.23 4
0 0:46.41 4
0 0:46.61 3
0 0:46.78 2
0 0:46.96 3
0 0:47.10 1
0 0:47.23 2
0 0:47.43 2
0 0:47.62 3
2 0:47.97
0 0:48.32 4
0 0:48.48 3
0 0:48.65 1
0 0:48.78 2
0 0:48.99 3
0 0:49.11 4
0 0:49.33 1
0 0:49.51 2
0 0:49.67 3
0 0:49.82 4
0 0:50.3 3
0 0:50.23 1
0 0:50.37 2
2 0:50.75
