Global Offset:
0.25
Note Data:
0 0:9.55 1
0 0:9.67 2
0 0:9.97 3
0 0:10.47 1
0 0:10.61 2
0 0:10.95 1
0 0:11.25 1
0 0:11.42 2
0 0:11.75 3
0 0:12.8 1
0 0:12.23 2
0 0:12.64 1
0 0:12.82 2
0 0:13.16 1
0 0:13.31 2
0 0:13.66 1
0 0:14.0 1
0 0:14.20 2
0 0:14.54 1
0 0:14.88 1
0 0:15.7 3
0 0:15.41 2
0 0:15.59 1
0 0:15.92 1
0 0:16.10 2
0 0:16.42 3
0 0:16.74 1
0 0:16.93 2
0 0:17.24 3
0 0:17.59 1
0 0:17.77 2
0 0:18.13 1
0 0:18.29 2
0 0:18.64 1
0 0:18.81 2
0 0:19.14 3
0 0:19.53 1
0 0:19.69 2
0 0:19.89 3
0 0:20.4 4
0 0:20.39 1
0 0:20.55 2
0 0:20.72 3
0 0:20.86 4
0 0:21.8 3
0 0:21.43 1
0 0:21.59 2
0 0:21.78 3
0 0:21.94 4
0 0:22.27 1
0 0:22.44 2
0 0:22.61 3
0 0:22.77 4
0 0:23.14 1
0 0:23.31 2
0 0:23.47 3
0 0:23.62 4
0 0:23.84 1
0 0:24.22 1
0 0:24.37 2
0 0:24.51 3
0 0:24.68 4
0 0:25.4 1
0 0:25.21 2
0 0:25.37 3
0 0:25.58 1
0 0:25.94 1
0 0:26.11 2
0 0:26.26 3
0 0:26.42 4
0 0:26.62 3
0 0:26.95 1
0 0:27.13 2
0 0:27.29 4
0 0:27.48 3
0 0:27.80 1
0 0:27.98 2
0 0:28.12 4
0 0:28.33 3
0 0:28.64 1
0 0:28.82 2
0 0:28.98 3
0 0:29.14 4
0 0:29.31 3
0 0:29.53 2
0 0:29.68 4
0 0:29.83 1
0 0:30.5 3
0 0:30.24 1
0 0:30.43 1
0 0:30.78 2
0 0:30.76 1
0 0:31.7 1
0 0:31.39 1
0 0:31.42 3
0 0:31.78 2
0 0:31.92 4
0 0:32.12 3
0 0:32.27 1
0 0:32.47 2
0 0:32.62 3
0 0:32.81 1
0 0:32.81 4
0 0:33.16 2
0 0:33.32 3
0 0:33.52 1
0 0:33.69 2
0 0:33.85 3
0 0:34.21 4
0 0:34.22 2
0 0:34.55 3
0 0:34.71 1
0 0:34.87 2
0 0:35.5 3
0 0:35.23 1
0 0:35.24 4
0 0:35.42 3
0 0:35.60 2
0 0:35.94 3
0 0:36.23 1
0 0:36.65 3
0 0:36.96 4
0 0:36.97 2
0 0:37.29 3
0 0:37.44 1
0 0:37.62 2
0 0:37.78 3
0 0:37.93 4
0 0:38.29 4
0 0:38.30 2
0 0:38.62 3
0 0:38.81 1
0 0:38.98 2
0 0:39.13 3
0 0:39.37 4
0 0:39.73 4
0 0:39.71 1
0 0:40.7 3
0 0:40.6 2
0 0:40.39 3
0 0:40.41 2
0 0:40.73 1
0 0:41.9 3
0 0:41.8 2
0 0:41.42 4
0 0:41.77 3
0 0:42.10 4
0 0:42.47 4
0 0:42.45 3
0 0:42.82 1
0 0:42.95 2
0 0:43.14 3
0 0:43.30 1
0 0:43.44 2
0 0:43.63 3
0 0:43.84 1
0 0:44.19 2
0 0:44.54 3
0 0:44.91 4
0 0:44.90 3
0 0:45.23 1
0 0:45.58 2
0 0:45.75 3
0 0:45.94 1
0 0:46.7 2
0 0:46.27 3
0 0:46.39 4
0 0:46.59 3
0 0:46.78 1
0 0:46.95 2
0 0:47.10 3
0 0:47.28 1
0 0:47.64 2
0 0:48.1 3
0 0:48.8 4
0 0:48.37 1
0 0:48.55 2
0 0:48.69 3
0 0:48.80 4
0 0:48.99 3
0 0:49.15 1
0 0:49.32 2
0 0:49.51 3
0 0:49.69 4
0 0:49.85 3
0 0:50.3 1
0 0:50.20 2
0 0:50.39 3
0 0:50.79 3
0 0:50.78 4
0 0:50.78 2
0 0:50.76 1
0 0:51.10 1
0 0:51.44 2
0 0:51.78 3
0 0:52.8 2
0 0:52.10 1
2 0:52.45
2 0:52.83
2 0:53.16
0 0:53.52 1
0 0:54.92 2
0 0:55.46 3
0 0:55.89 4

